Section_2020,public_dataset,research_dataset,Variable_2020,Labels_2020_old,Question_2020,Labels_2020,Response_Type_2020,Response_Options_2020,Constructed_2020,Var_Description_2020,Var_Description_2020_old,Version_Note,baseline2016,Fall_2017_Spring_2018,Fall_2018_Spring_2019,Fall_2019_Spring_2020
G: Social Support,Keep,Keep,sshousing,Social Support: Is there anyone who could help you locate housing if you had to move?,1d. Is there anyone who could help you locate housing if you had to move?,Social Support: Is there anyone who could help you locate housing if you had to move?,yesno,"Yes, No",0,"This variable provides responses to the survey question: ""Is there anyone who could help you locate housing if you had to move?"" The response options are: Yes and No.","This variable provides responses to the survey question ""Is there anyone who could help you locate housing if you had to move?"" The possible response options are: Yes and No.",,359,806,998,783
G: Social Support,Keep,Keep,sssupport,Social Support: How much of your social support comes from people places or programs in your neighborhood?,"1e. How much of the support described above comes from people, places, or programs in your neighborhood?",Social Support: How much of your social support comes from people places or programs in your neighborhood?,radio,"1, None | 2, Not much | 3, Some | 4, Most | 5, All",0,"This variable provides responses to the survey question: ""How much of the support described above comes from people, places, or programs in your neighborhood?"" The response options are: None, Not Much, Some, Most, and All.","This variable provides responses to the survey question ""How much of the support described above comes from people, places, or programs in your neighborhood"" The possible response options are: None, Not Much, Some, Most, and All.",,362,804,991,780
G: Social Support,Keep,Keep,functional_SS,Social Support Score,,Social Support Score,text,"0, 1, 2, 3, 4",1,"This variable provides social support scores that were calculated using responses to the survey questions about getting support for everyday favors, care if a respondent were sick for an extended period of time, borrowing several hundreds of dollars for a medical emergency, and locating housing if a respondent needed to move. The scores range from 0 to 4, where 0 is a low functional social support and 4 is a high functional social support. ","The Functional Social Support variable ranges from 0 to 4, where 0 is low functional social support and 4 is high functional social support. This variable is constructed from a collection of variables including answers to questions about getting support for everyday favors, care if a respondent were sick for an extended period of time, borrowing several hundreds of dollars for a medical emergency, and locating housing if a respondent needed to move. Possible values for each of these variables independently are: Yes and No.",,377,877,1040,768
G: Social Support,Keep,Keep,functional_SS_avg,Social Support Average Score,,Social Support Average Score,text,"0, 0.25, 0.50, 0.75, 1",1,This variable provides the average social support scores that were calculated using the Social Support Score variable.,This variable provides the average social support score.,,377,877,1040,768
G: Social Support,Keep,Keep,sscomf,Relational Support: I have people I feel comfortable talking about problems with.,2a. I have people I feel comfortable talking about problems with.,Relational Support: I have people I feel comfortable talking about problems with.,radio,"1, Strongly Disagree | 2, Disagree | 6, Neutral | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""I have people I feel comfortable talking about problems with."" The response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""I have people I feel comfortable talking about problems with."" The possible response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.",,364,790,1003,782
G: Social Support,Keep,Keep,ssrespect,Relational Support: I think that other people respect what I do.,2b. I think that other people respect what I do.,Relational Support: I think that other people respect what I do.,radio,"1, Strongly Disagree | 2, Disagree | 6, Neutral | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""I think that other people respect what I do."" The response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""I think that other people respect what I do."" The possible response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.",,364,785,1005,784
G: Social Support,Keep,Keep,sslikes,Relational Support: There is no one who likes to do the things I do.,2c. There is no one who likes to do the things I do. ,Relational Support: There is no one who likes to do the things I do.,radio,"1, Strongly Disagree | 2, Disagree | 6, Neutral | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""There is no one who likes to do the things I do."" The response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""There is no one who likes to do the things I do."" The possible response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.",,0,767,1006,783
G: Social Support,Keep,Keep,ssvalue,Relational Support: There are people who value my skills and abilities.,2d. There are people who value my skills and abilities. ,Relational Support: There are people who value my skills and abilities.,radio,"1, Strongly Disagree | 2, Disagree | 6, Neutral | 3, Agree | 4, Strongly Agree | 5, Don't Know",0,"This variable indicates how much respondents agree or disagree with the statement: ""There are people who value my skills and abilities."" The response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.","This variable indicates how much respondents agree or disagree with the statement ""There are people who value my skills and abilities."" The possible response options are: Strongly Disagree, Disagree, Neither Agree or Disagree, Agree, Strongly Agree, and Don't Know.",,363,768,1003,782
G: Social Support,Remove,Remove,sscomf_temp,,,,text,"1, 2, 3, 4, 5",1,,,,0,765,984,0
G: Social Support,Remove,Remove,ssrespect_temp,,,,text,"1, 2, 3, 4, 6",1,,,,0,740,960,0
G: Social Support,Remove,Remove,sslikes_temp,,,,text,"1, 2, 3, 4, 7",1,,,,0,717,916,0
G: Social Support,Remove,Remove,ssvalue_temp,,,,text,"1, 2, 3, 4, 8",1,,,,0,740,954,0
G: Social Support,Keep,Keep,relate_SS,Relational Support Score,,Relational Support Score,text,"0, 0.25, 0.50, 0.75, 1, 1.25, 1.50, 1.75, 2, 2.25, 2.50, 2.75, 3, 3.25, 3.50, 3.75, 4, 4.25, 4.50, 4.75, 5",1,"This variable was created using responses to the survey questions about whether a respondent believes they have people they feel comfortable talking about their problems with, believes others respect what they do, believes no one likes doing the things they do, and believes others value their skills and abilities. The values to each of these questions are scored on a scale of Strongly Disagree (1 point), Disagree (2 points), Neutral (3 points), Agree (4 points), Strongly Agree (5 points), and Don?t Know. The combined Relational Support Variable is the average between the answers to these questions, ranging 1 to 5, where 1 is low relational social support and 5 is high relational social support.","This variable is constructed. It is based on questions about whether a respondent believes they have people they feel comfortable talking about their problems with, believes others respect what they do, believes no one likes doing the things they do, and believes others value their skills and abilities. The values to each of these questions are scored on a scale of Strongly Disagree (1 point), Disagree (2 points), Neutral (3 points), Agree (4 points), Strongly Agree (5 points), and Don?t Know. The combined Relational Support Variable is the average between the answers to these questions, ranging 1 to 5, where 1 is low relational social support and 5 is high relational social support.",,0,877,1040,766
